Navn;Stasjon;Tid(norsk normaltid);Middel av middelvind fra hovedobs. (døgn);Middel av høye vindkastverdier (døgn)
Oslo - Blindern;SN18700;28.09.2014;2.5;6.6
Oslo - Blindern;SN18700;29.09.2014;2.7;5.4
Oslo - Blindern;SN18700;30.09.2014;1.9;4
Oslo - Blindern;SN18700;01.10.2014;1.7;2.9
Oslo - Blindern;SN18700;02.10.2014;2;4.5
Oslo - Blindern;SN18700;03.10.2014;2.4;4.6
Oslo - Blindern;SN18700;04.10.2014;2.1;5.8
Oslo - Blindern;SN18700;05.10.2014;2.5;5.1
Oslo - Blindern;SN18700;06.10.2014;3.9;7.9
Oslo - Blindern;SN18700;07.10.2014;6.2;10.6
Oslo - Blindern;SN18700;08.10.2014;3;9.5
Oslo - Blindern;SN18700;09.10.2014;3.1;6.2
Oslo - Blindern;SN18700;10.10.2014;2;5.7
Oslo - Blindern;SN18700;11.10.2014;1.3;2.7
Oslo - Blindern;SN18700;12.10.2014;1.9;3.9
Oslo - Blindern;SN18700;13.10.2014;1.5;2.9
Oslo - Blindern;SN18700;14.10.2014;2.2;3.9
Oslo - Blindern;SN18700;15.10.2014;3.7;6.5
Oslo - Blindern;SN18700;16.10.2014;6.1;10
Oslo - Blindern;SN18700;17.10.2014;5.5;10.6
Oslo - Blindern;SN18700;18.10.2014;2.4;4.7
Oslo - Blindern;SN18700;19.10.2014;2.1;4.8
Oslo - Blindern;SN18700;20.10.2014;1.7;3.8
Oslo - Blindern;SN18700;21.10.2014;3.2;5.8
Oslo - Blindern;SN18700;22.10.2014;3.3;8.1
Oslo - Blindern;SN18700;23.10.2014;2.9;5.4
Oslo - Blindern;SN18700;24.10.2014;4.5;9.1
Oslo - Blindern;SN18700;25.10.2014;3.8;7.1
Oslo - Blindern;SN18700;26.10.2014;7.5;14.1
Oslo - Blindern;SN18700;27.10.2014;5.8;12.5
Oslo - Blindern;SN18700;28.10.2014;5.9;12.9
